11.5857348; -6.2890536; 0.7461100; -2.5773882; 0.6937168; 1.8818073; 3.9720505
11.7854889; -6.1719685; 0.5833557; -2.4675957; 0.4425580; 2.2645231; 3.3769756
11.9852429; -6.0375943; 0.4294747; -2.3794177; 0.4580913; 2.5450332; 2.8710522
12.1849970; -5.8878707; 0.2879716; -2.2728948; 0.5672300; 2.7611959; 2.4409240
12.3847510; -5.7332609; 0.1717020; -2.1562916; 0.6282397; 2.9324685; 2.0752357
12.5845051; -5.5580910; 0.0709293; -2.0297768; 0.6170860; 3.0705773; 1.7643331
12.7842591; -5.3758690; -0.0059197; -1.9114492; 0.5732296; 3.1832861; 1.5000086
12.9840132; -5.1845066; -0.0621821; -1.8048718; 0.4886652; 3.2760610; 1.2752840
13.1837672; -4.9890190; -0.0995650; -1.7182308; 0.3801695; 3.3529185; 1.0842266
13.3835213; -4.7903840; -0.1221393; -1.6534066; 0.2684737; 3.4169020; 0.9217926
13.5832753; -4.5912883; -0.1340078; -1.6109415; 0.1580350; 3.4703722; 0.7836938
13.7830294; -4.3914025; -0.1395819; -1.5897239; 0.0593049; 3.5151921; 0.6662843
13.9827834; -4.1915973; -0.1427508; -1.5864310; -0.0261669; 3.5528525; 0.5664645
14.1825375; -3.9918013; -0.1467349; -1.5957134; -0.0536121; 3.5845597; 0.4815994
14.3822915; -3.7921685; -0.1528494; -1.6074395; -0.0616997; 3.6112977; 0.4094483
14.5820456; -3.5925825; -0.1613408; -1.6189050; -0.0530745; 3.6338752; 0.3481066
14.7817996; -3.3931380; -0.1719452; -1.6286363; -0.0443404; 3.6529605; 0.2959548
14.9815537; -3.1937687; -0.1843169; -1.6366115; -0.0355018; 3.6691085; 0.2516162
15.1813077; -2.9945102; -0.1981009; -1.6428197; -0.0266708; 3.6827815; 0.2139202
15.3810618; -2.7953099; -0.2129475; -1.6472647; -0.0177030; 3.6943663; 0.1818716
15.5808158; -2.5962020; -0.2284924; -1.6498356; -0.0080438; 3.7041870; 0.1546244
15.7805699; -2.3970535; -0.2443664; -1.6505866; -0.0003579; 3.7125160; 0.1314593
15.9803239; -2.1978949; -0.2602579; -1.6500526; 0.0057051; 3.7195825; 0.1117646
16.1800780; -1.9989388; -0.2758296; -1.6470526; 0.0257108; 3.7255798; 0.0950205
16.3798320; -1.7995682; -0.2904127; -1.6401983; 0.0310525; 3.7306711; 0.0807850
16.5795861; -1.6001525; -0.3039289; -1.6381173; -0.0101619; 3.7349941; 0.0686821
16.7793401; -1.4002353; -0.3178770; -1.6439554; -0.0456448; 3.7386655; 0.0583925
16.9790942; -1.2017141; -0.3335504; -1.6563279; -0.0793224; 3.7417841; 0.0496444
17.1788482; -1.0020978; -0.3522290; -1.6714366; -0.0685849; 3.7444334; 0.0422069
17.3786022; -0.8039627; -0.3735095; -1.6837617; -0.0581306; 3.7466844; 0.0358836
17.5783563; -0.6057413; -0.3971514; -1.6951863; -0.0562134; 3.7485970; 0.0305077
17.7781103; -0.4076616; -0.4229993; -1.7055238; -0.0452189; 3.7502223; 0.0259372
17.9778644; -0.2100523; -0.4505972; -1.7130302; -0.0261467; 3.7516036; 0.0220514
18.1776184; -0.0123644; -0.4791815; -1.7145081; 0.0113828; 3.7527775; 0.0187478
18.3773725; 0.1853318; -0.5073030; -1.7083607; 0.0508374; 3.7537753; 0.0159390
18.5771265; 0.3834064; -0.5334290; -1.6941810; 0.0907797; 3.7546234; 0.0135511
18.7768806; 0.5818467; -0.5559659; -1.6723486; 0.1278442; 3.7553443; 0.0115210
18.9766346; 0.7808533; -0.5734355; -1.6431660; 0.1638499; 3.7559571; 0.0097949
19.1763887; 0.9803202; -0.5843821; -1.6068930; 0.1993475; 3.7564780; 0.0083275
19.3761427; 1.1800713; -0.5873849; -1.5636044; 0.2341857; 3.7569208; 0.0070799
19.5758968; 1.3797192; -0.5810393; -1.5132368; 0.2703870; 3.7572972; 0.0060192
19.7756508; 1.5786801; -0.5639252; -1.4554910; 0.3080023; 3.7576172; 0.0051175
19.9754049; 1.7763250; -0.5345943; -1.3901898; 0.3459296; 3.7578892; 0.0043508
20.1751589; 1.9712318; -0.4917293; -1.3170246; 0.3890888; 3.7581205; 0.0036990
20.3749130; 2.1622950; -0.4338432; -1.2347156; 0.4339604; 3.7583171; 0.0031448
20.5746670; 2.3477529; -0.3596334; -1.1444753; 0.4697185; 3.7584842; 0.0026737
20.7744211; 2.5250396; -0.2685271; -1.0459322; 0.5257500; 3.7586263; -0.7251395
20.9741751; 2.6914799; -0.1596643; -0.9357421; 0.5696406; 3.7198888; -1.0715325
