# x_m, y_m, vx, yaw, ax, s_m
-0.197702,0.124558,3.416791,-0.264741,1.195667,0.000000
-0.006762,0.072793,3.485614,-0.228772,1.508827,0.198653
0.188475,0.034637,3.570570,-0.162743,1.784945,0.397305
0.385353,0.008410,3.668534,-0.107734,2.063263,0.595958
0.583310,-0.008066,3.778609,-0.064286,2.423645,0.794610
0.782123,-0.017132,3.903948,-0.033072,2.847859,0.993263
0.980566,-0.021209,4.046267,-0.013943,3.280366,1.191915
1.179416,-0.022672,4.204234,-0.005302,3.632645,1.390568
1.377994,-0.023316,4.372511,-0.002701,3.482385,1.589220
1.576687,-0.023745,4.527960,-0.002159,3.273778,1.787873
1.775360,-0.024174,4.669380,-0.002076,3.003085,1.986525
1.974031,-0.024570,4.795441,-0.001758,2.735145,2.185178
2.172722,-0.024873,4.907437,-0.000994,2.484343,2.383830
2.371447,-0.024965,5.006993,0.001046,2.067646,2.582483
2.570108,-0.024457,5.088366,0.005815,1.582933,2.781135
2.768908,-0.022654,5.149794,0.015446,0.762852,2.979788
2.967636,-0.018316,5.179137,0.031592,-0.018772,3.178440
3.166074,-0.010102,5.178417,0.054706,-0.757599,3.377093
3.364685,0.003426,5.149272,0.084626,-1.353202,3.575745
3.561597,0.023450,5.096800,0.121323,-1.871728,3.774398
3.759131,0.051518,5.023318,0.163552,-2.066064,3.973051
3.954044,0.088214,4.940938,0.210604,-2.167472,4.171703
4.147227,0.134482,4.853011,0.261120,-2.097777,4.370356
4.338127,0.190849,4.766368,0.314179,-1.969257,4.569008
4.524547,0.257089,4.683574,0.369702,-1.838282,4.767661
4.708342,0.334314,4.604944,0.426669,-1.630882,4.966313
4.886908,0.421817,4.534043,0.484848,-1.434719,5.164966
5.058953,0.519012,4.470741,0.544095,-1.257834,5.363618
5.226589,0.627328,4.414497,0.603632,-1.063334,5.562271
5.386951,0.745161,4.366385,0.663702,-0.906925,5.760923
5.539170,0.871782,4.324926,0.724071,-0.781164,5.959576
5.683505,1.007402,4.288896,0.784968,-0.682400,6.158228
5.820147,1.152518,4.257171,0.846134,-0.601985,6.356881
5.947113,1.305147,4.228987,0.905843,-0.267136,6.555533
6.064743,1.464474,4.216420,0.958744,0.467206,6.754186
6.174509,1.629083,4.238375,1.000194,1.358192,6.952838
