2.562,4.704,1.869,2.000,0.500,0.050,0.000,3.000
2.365,4.686,1.788,2.000,0.500,0.050,0.000,3.000
2.179,4.628,1.952,2.000,0.500,0.050,0.000,3.000
1.999,4.541,2.081,2.000,0.500,0.050,0.000,3.000
1.827,4.431,2.198,2.000,0.500,0.050,0.000,3.000
1.672,4.306,2.302,3.000,0.500,0.300,0.000,4.000
1.530,4.165,2.396,3.000,0.500,0.300,0.000,4.000
1.400,4.013,2.471,3.000,0.500,0.300,0.000,4.000
1.280,3.853,2.526,3.000,0.500,0.300,0.000,4.000
1.167,3.688,2.553,3.000,0.500,0.300,0.000,4.000
1.057,3.521,2.553,3.000,0.500,0.300,0.000,4.000
0.944,3.356,2.522,3.000,0.500,0.300,0.000,4.000
0.823,3.196,2.464,3.000,0.500,0.300,0.000,4.000
0.691,3.045,2.378,3.000,0.500,0.300,0.000,4.000
0.547,2.910,2.269,5.000,1.500,0.300,0.000,5.000
0.383,2.789,2.137,5.000,1.500,0.300,0.000,5.000
0.207,2.694,1.996,5.000,1.500,0.300,0.000,5.000
0.024,2.625,1.880,5.000,1.500,0.300,0.000,5.000
-0.167,2.572,1.810,5.000,1.500,0.300,0.000,5.000
-0.362,2.528,1.787,5.000,1.500,0.300,0.000,5.000
-0.557,2.486,1.772,5.000,1.500,0.300,0.000,5.000
-0.752,2.449,1.744,5.000,1.500,0.300,0.000,5.000
-0.948,2.418,1.704,5.000,1.500,0.300,0.000,5.000
-1.146,2.396,1.660,5.000,1.500,0.300,0.000,5.000
-1.347,2.383,1.615,5.000,1.500,0.300,0.000,5.000
-1.546,2.378,1.572,5.000,1.500,0.300,0.000,5.000
-1.745,2.382,1.532,5.000,1.500,0.300,0.000,5.000
-1.946,2.394,1.496,5.000,1.500,0.300,0.000,5.000
-2.144,2.412,1.465,5.000,1.500,0.300,0.000,5.000
-2.342,2.435,1.440,5.000,1.500,0.300,0.000,5.000
-2.540,2.464,1.421,5.000,1.500,0.300,0.000,5.000
-2.737,2.495,1.409,5.000,1.500,0.300,0.000,5.000
-2.935,2.527,1.405,5.000,1.500,0.300,0.000,5.000
-3.131,2.560,1.411,5.000,1.500,0.300,0.000,5.000
-3.330,2.590,1.427,2.000,0.500,0.050,0.000,6.000
-3.527,2.616,1.454,2.000,0.500,0.050,0.000,6.000
-3.726,2.636,1.489,2.000,0.500,0.050,0.000,6.000
-3.926,2.648,1.534,2.000,0.500,0.050,0.000,6.000
-4.125,2.650,1.588,2.000,0.500,0.050,0.000,6.000
-4.325,2.641,1.651,2.000,0.500,0.050,0.000,6.000
-4.523,2.617,1.724,2.000,0.500,0.050,0.000,6.000
-4.719,2.579,1.804,2.000,0.500,0.050,0.000,6.000
-4.911,2.525,1.891,2.000,0.500,0.050,0.000,6.000
-5.098,2.453,1.981,2.000,0.500,0.050,0.000,6.000
-5.277,2.365,2.075,2.000,0.500,0.050,0.000,6.000
-5.447,2.261,2.169,2.000,0.500,0.050,0.000,6.000
-5.608,2.139,2.266,2.000,0.500,0.050,0.000,6.000
-5.754,2.005,2.363,2.000,0.500,0.050,0.000,6.000
-5.888,1.855,2.467,2.000,0.500,0.050,0.000,6.000
-6.005,1.691,2.580,2.000,0.500,0.050,0.000,6.000
-6.099,1.518,2.706,2.000,0.500,0.050,0.000,6.000
-6.169,1.334,2.852,2.000,0.500,0.050,0.000,6.000
-6.210,1.137,3.038,2.000,0.500,0.050,0.000,6.000
-6.203,0.934,-2.926,2.000,0.500,0.050,0.000,6.000
-6.203,0.760,-3.004,2.000,0.500,0.050,0.000,6.000
-6.135,0.573,-2.658,2.000,0.500,0.050,0.000,6.000
-6.028,0.401,-2.525,2.000,0.500,0.050,0.000,0.000
-5.906,0.244,-2.434,2.000,0.500,0.050,0.000,0.000
-5.767,0.095,-2.351,2.000,0.500,0.050,0.000,0.000
-5.619,-0.040,-2.273,2.000,0.500,0.050,0.000,0.000
-5.461,-0.163,-2.192,2.000,0.500,0.050,0.000,0.000
-5.293,-0.273,-2.104,2.000,0.500,0.050,0.000,0.000
-5.117,-0.366,-2.008,2.000,0.500,0.050,0.000,0.000
-4.934,-0.441,-1.913,2.000,0.500,0.050,0.000,0.000
-4.743,-0.499,-1.825,2.000,0.500,0.050,0.000,0.000
-4.548,-0.542,-1.749,5.000,1.000,0.300,0.000,1.000
-4.351,-0.571,-1.685,5.000,1.000,0.300,0.000,1.000
-4.152,-0.588,-1.635,5.000,1.000,0.300,0.000,1.000
-3.952,-0.597,-1.599,5.000,1.000,0.300,0.000,1.000
-3.753,-0.600,-1.575,5.000,1.000,0.300,0.000,1.000
-3.553,-0.600,-1.563,5.000,1.000,0.300,0.000,1.000
-3.353,-0.597,-1.555,5.000,1.000,0.300,0.000,1.000
-3.154,-0.594,-1.549,5.000,1.000,0.300,0.000,1.000
-2.954,-0.589,-1.545,5.000,1.000,0.300,0.000,1.000
-2.755,-0.583,-1.542,5.000,1.000,0.300,0.000,1.000
-2.555,-0.577,-1.540,5.000,1.000,0.300,0.000,1.000
-2.355,-0.571,-1.539,5.000,1.000,0.300,0.000,1.000
-2.156,-0.565,-1.539,5.000,1.000,0.300,0.000,1.000
-1.956,-0.559,-1.541,5.000,1.000,0.300,0.000,1.000
-1.757,-0.553,-1.544,5.000,1.000,0.300,0.000,1.000
-1.557,-0.548,-1.547,5.000,1.000,0.300,0.000,1.000
-1.358,-0.543,-1.547,5.000,1.000,0.300,0.000,1.000
-1.158,-0.538,-1.545,5.000,1.000,0.300,0.000,1.000
