# x_m, y_m, vx, yaw, ax, s_m
-0.222544,-0.133693,3.706515,-0.189474,2.395881,0.000000
-0.027549,-0.171088,3.833046,-0.158614,3.398675,0.199089
0.170149,-0.196507,4.005686,-0.105401,4.192034,0.398178
0.368585,-0.212996,4.208883,-0.068577,3.899928,0.597268
0.567460,-0.223796,4.389483,-0.047166,3.628176,0.796357
0.766502,-0.231778,4.551069,-0.038823,3.375361,0.995446
0.965359,-0.239251,4.696405,-0.038258,3.140161,1.194535
1.164298,-0.247004,4.827687,-0.040071,2.921351,1.393624
1.363185,-0.255201,4.946694,-0.041841,2.717788,1.592714
1.562041,-0.263656,5.054894,-0.042612,2.528409,1.791803
1.761087,-0.272167,5.153514,-0.042345,2.352226,1.990892
1.959876,-0.280513,5.243597,-0.041111,2.188320,2.189981
2.158929,-0.288532,5.326036,-0.038998,2.035836,2.389071
2.357842,-0.296040,5.401600,-0.036094,1.893976,2.588160
2.556887,-0.302902,5.470962,-0.032501,1.762001,2.787249
2.755895,-0.308982,5.534710,-0.028308,1.639223,2.986338
2.955028,-0.314175,5.593363,-0.023616,1.525000,3.185427
3.153979,-0.318385,5.647383,-0.018505,1.418736,3.384517
3.353273,-0.321546,5.697179,-0.013089,1.319877,3.583606
3.552350,-0.323599,5.743117,-0.006956,1.227906,3.782695
3.751457,-0.324315,5.785527,0.001260,1.142344,3.981784
3.950794,-0.323097,5.824704,0.014547,1.062744,4.180873
4.149330,-0.318527,5.860916,0.036652,-2.820608,4.379963
4.348861,-0.308501,5.764307,0.069121,-7.071360,4.579052
4.547012,-0.290995,5.514669,0.112171,-5.720512,4.778141
4.744181,-0.263970,5.304129,0.164854,-4.889172,4.977230
4.939956,-0.225623,5.117326,0.225652,-4.297007,5.176319
5.131813,-0.174984,4.947327,0.293572,-4.222263,5.375409
5.320611,-0.110549,4.774393,0.366638,-3.755929,5.574498
5.503862,-0.032118,4.615117,0.443525,-3.114131,5.773587
5.679513,0.059963,4.478764,0.523271,-2.522472,5.972676
5.848245,0.166561,4.365195,0.604512,-1.892700,6.171766
6.007641,0.286628,4.278002,0.687011,-1.447658,6.370855
6.155816,0.418869,4.210092,0.770742,-1.191936,6.569944
6.292087,0.562856,4.153344,0.856253,-1.077914,6.769033
6.416439,0.719314,4.101349,0.941805,-0.671947,6.968122
6.526529,0.885081,4.068601,1.020392,1.056266,7.167212
6.624047,1.057623,4.119963,1.081466,3.241141,7.366301
6.712761,1.234795,4.273716,1.125208,3.803687,7.565390
6.795424,1.416434,4.447380,1.164386,3.075272,7.764479
6.869894,1.599907,4.582979,1.209614,1.255613,7.963568
6.935380,1.786927,4.637204,1.260759,0.400064,8.162658
6.991246,1.978695,4.654348,1.314770,0.125193,8.361747
7.036610,2.173641,4.659700,1.368705,0.208180,8.560836
7.071102,2.368447,4.668586,1.420485,0.804845,8.759925
7.096128,2.566616,4.702783,1.467246,1.450608,8.959014
7.112340,2.765268,4.763798,1.507559,2.330265,9.158104
7.121269,2.963657,4.860209,1.539318,2.866215,9.357193
7.124892,3.163872,4.976233,1.560930,2.666493,9.556282
7.125200,3.362053,5.081794,1.572371,2.480689,9.755371
7.124265,3.561638,5.178068,1.575261,2.307831,9.954460
7.123420,3.760660,5.266054,1.573962,2.147019,10.153550
7.123005,3.959833,5.346608,1.571734,1.997412,10.352639
7.123047,4.159219,5.420474,1.569822,1.858230,10.551728
7.123393,4.358257,5.488301,1.568551,1.728746,10.750817
7.123941,4.557631,5.550658,1.567837,1.608285,10.949907
7.124572,4.756580,5.608046,1.568110,1.496218,11.148996
7.125010,4.955757,5.660914,1.569539,1.391959,11.348085
7.125072,5.154666,5.709658,1.570984,1.294966,11.547174
7.124936,5.353930,5.754635,1.571529,1.204731,11.746263
7.124781,5.553057,5.796164,1.571399,1.120784,11.945353
7.124696,5.752469,5.834534,1.571011,1.042686,12.144442
7.124695,5.951563,5.870006,1.570723,0.970031,12.343531
7.124725,6.151168,5.902814,1.570614,0.902438,12.542620
7.124768,6.349771,5.933173,1.570519,0.839555,12.741709
7.124835,6.549909,5.961278,1.570394,0.781054,12.940799
7.124928,6.747927,5.987306,1.570352,0.726629,13.139888
7.125012,6.948394,6.011419,1.570756,0.675996,13.338977
7.124944,7.147288,6.033766,1.571853,-15.156620,13.538066
7.124592,7.345950,5.511015,1.573355,-16.115883,13.737155
7.123924,7.546092,4.894312,1.573905,-14.975527,13.936245
7.123355,7.744028,4.241623,1.575395,-12.231855,14.135334
7.122098,7.943016,3.622279,1.591626,-7.058511,14.334423
7.115052,8.142599,3.210974,1.656134,-3.044842,14.533512
7.088226,8.338973,3.016283,1.794070,-1.488428,14.732602
7.027657,8.527496,2.916386,1.985141,-1.488428,14.931691
6.929269,8.700400,2.812942,2.184254,0.846121,15.130780
6.799567,8.851452,2.872203,2.370229,0.934411,15.329869
6.645390,8.976420,2.936259,2.549760,0.447289,15.528958
6.471422,9.072035,2.966431,2.729785,0.118354,15.728048
6.282869,9.134762,2.974364,2.914726,-0.425752,15.927137
6.086483,9.160894,2.945728,3.109770,-0.874792,16.126226
5.888486,9.147317,2.885999,-2.962533,-1.361757,16.325315
5.697516,9.090492,2.790479,-2.747646,-0.781024,16.524404
5.523336,8.995533,2.734188,-2.585921,5.453297,16.723494
5.360364,8.881142,3.105989,-2.505678,5.311745,16.922583
5.202794,8.758905,3.429605,-2.472364,4.941617,17.121672
5.048200,8.634220,3.705379,-2.451964,4.597279,17.320761
4.896366,8.506189,3.944664,-2.427837,4.276935,17.519850
4.746464,8.372894,4.154920,-2.400854,3.978913,17.718940
4.602110,8.237109,4.341391,-2.373683,3.701657,17.918029
4.460198,8.096469,4.507948,-2.349497,3.443721,18.117118
4.321881,7.953101,4.657554,-2.329810,3.203758,18.316207
4.185675,7.807063,4.792544,-2.316022,2.980517,18.515297
4.051720,7.660312,4.914799,-2.308298,2.772831,18.714386
3.917660,7.512061,5.025867,-2.305559,2.579616,18.913475
3.784512,7.364575,5.127035,-2.306131,2.399866,19.112564
3.650814,7.217064,5.219392,-2.309007,2.232640,19.311653
3.516486,7.069981,5.303871,-2.313536,2.077067,19.510743
3.381765,6.924022,5.381272,-2.319452,1.932334,19.709832
3.245551,6.778368,5.452293,-2.326421,1.797687,19.908921
3.108526,6.634009,5.517545,-2.334022,1.672422,20.108010
2.970517,6.490858,5.577565,-2.341719,1.555885,20.307099
2.831048,6.348378,5.632828,-2.349117,1.447469,20.506189
2.690852,6.207207,5.683757,-2.356093,1.346608,20.705278
2.549678,6.066951,5.730732,-2.362586,1.252775,20.904367
2.407465,5.927419,5.774090,-2.368604,1.165480,21.103456
2.264690,5.788950,5.814137,-2.374202,1.084268,21.302545
2.121046,5.651134,5.851147,-2.379433,1.008715,21.501635
1.976787,5.514126,5.885369,-2.384315,0.938426,21.700724
1.831867,5.377778,5.917028,-2.388934,0.873036,21.899813
1.686288,5.242052,5.946331,-2.393721,0.812201,22.098902
1.540468,5.107467,5.973462,-2.399215,0.755606,22.297991
1.393149,4.973109,5.998593,-2.406743,0.702955,22.497081
1.245286,4.840714,6.021878,-2.419998,0.653972,22.696170
1.094741,4.710542,6.043461,-2.441393,-0.975095,22.895259
0.940083,4.583541,6.011252,-2.470221,-2.793010,23.094348
0.782693,4.462623,5.918026,-2.504680,-3.112375,23.293438
0.620086,4.346821,5.812380,-2.540203,-2.479646,23.492527
0.454093,4.237145,5.726815,-2.570188,0.500821,23.691616
0.285111,4.131448,5.744200,-2.588891,1.225729,23.890705
0.114927,4.027938,5.786527,-2.594432,1.140319,24.089794
-0.055222,3.924115,5.825628,-2.586107,1.060860,24.288884
-0.223456,3.817911,5.861770,-2.564107,-4.159016,24.487973
-0.389014,3.706623,5.718769,-2.529449,-6.466256,24.687062
-0.549542,3.588961,5.489044,-2.483480,-5.250743,24.886151
-0.703900,3.463189,5.295174,-2.427990,-4.652815,25.085240
-0.850705,3.328211,5.117247,-2.365286,-4.284069,25.284330
-0.987501,3.184699,4.947766,-2.296751,-4.284069,25.483419
-1.115046,3.030415,4.772271,-2.225077,-3.358063,25.682508
-1.230262,2.868184,4.630061,-2.151107,-2.660509,25.881597
-1.332937,2.698067,4.514211,-2.076133,-1.958018,26.080686
-1.423240,2.519378,4.427015,-2.001481,-1.337315,26.279776
-1.499275,2.336032,4.366460,-1.925630,-1.192531,26.478865
-1.560976,2.147634,4.311744,-1.844979,-1.821959,26.677954
-1.607058,1.952825,4.226780,-1.756843,-2.252784,26.877043
-1.634746,1.755710,4.119303,-1.660386,-2.404061,27.076133
-1.642565,1.557557,4.001426,-1.556383,-2.407201,27.275222
-1.629040,1.359862,3.879809,-1.443904,-2.382119,27.474311
-1.592424,1.164537,3.755584,-1.324300,-2.302261,27.673400
-1.532337,0.975531,3.631487,-1.208640,0.372937,27.872489
-1.452521,0.795270,3.651875,-1.100429,0.087996,28.071579
-1.353370,0.623530,3.656670,-0.990838,-0.234542,28.270668
-1.234204,0.462017,3.643877,-0.876737,-0.619780,28.469757
-1.097982,0.316641,3.609856,-0.758685,-0.572869,28.668846
-0.946023,0.188835,3.578122,-0.640112,-0.182764,28.867935
-0.778871,0.078993,3.567938,-0.524336,0.095112,29.067025
-0.601333,-0.010511,3.573241,-0.414064,0.811759,29.266114
-0.415146,-0.080853,3.618187,-0.314411,1.624829,29.465203
-0.222544,-0.133693,3.706515,-0.267756,2.395881,29.664292
