#x_m,y_m,w_tr_right_m,w_tr_left_m
2.6499999999999986,4.510000000000001,1.8,4.221338297451321
2.6499999999999986,4.159999999999999,1.8,3.9520583250938603
2.6000000000000014,4.11,1.75,3.881506905411015
2.6000000000000014,3.7600000000000007,1.7597329924045981,3.6246018906380812
2.5,3.6599999999999993,1.672941965694886,3.4831864876053893
2.4499999999999993,3.6599999999999993,1.6235384061671345,3.448332962798263
2.3999999999999986,3.6100000000000003,1.5828170383762732,3.3776351096866586
2.3500000000000014,3.6100000000000003,1.533712082089225,3.343144246389374
2.1000000000000014,3.3600000000000003,1.3620770138594662,2.9897568299191963
2.0500000000000007,3.3600000000000003,1.315549442140351,2.9557641192199413
1.8999999999999986,3.21,1.2443445211480502,2.743846251044885
1.8500000000000014,3.21,1.2008331019803635,2.710398644698074
1.75,3.1100000000000003,1.1705441169852742,2.569233347080715
1.6999999999999993,3.1100000000000003,1.1300349646075092,2.5363709207365672
1.6500000000000004,3.0599999999999996,1.1212670403551896,2.465863337187866
1.5500000000000007,3.0599999999999996,1.045362404707371,2.4018512172212594
1.5,3.01,1.0435028842544403,2.3315394733881534
1.4000000000000004,3.01,0.9727922061357855,2.2700194551792796
1.3499999999999996,2.96,0.9747548783981963,2.2
1.25,2.96,0.9103718436910205,2.1413111231467403
0.8499999999999996,2.5599999999999996,0.6617692030835672,1.5867962264113207
0.8000000000000007,2.5599999999999996,0.617877987534291,1.5607794065928395
0.6999999999999993,2.46,0.5902246907382429,1.4240939649566666
0.6500000000000004,2.46,0.5514693182963202,1.4000000000000001
0.5999999999999996,2.41,0.548528137423857,1.332482771731451
0.5,2.41,0.47781745930520236,1.2890248582070705
0.4499999999999993,2.3600000000000003,0.47781745930520236,1.2231546211727817
0.40000000000000036,2.3600000000000003,0.4433034373659254,1.2041608956491325
0.34999999999999964,2.3099999999999996,0.45,1.139618004888797
0.1999999999999993,2.3099999999999996,0.370820393249937,1.0946325680981353
0.15000000000000036,2.26,0.39641941385920604,1.0341664064126335
-0.5,2.26,0.36708320320631677,0.9854960132182442
-0.5500000000000007,2.3099999999999996,0.33245553203367595,1.0238202294873726
-0.6999999999999993,2.3099999999999996,0.3946221994724903,1.00384048104053
-0.75,2.3600000000000003,0.351920240520265,1.0509256086106296
-1.1500000000000004,2.3600000000000003,0.4,1.0341664064126335
-1.1999999999999993,2.41,0.3500000000000001,1.0729530217745982
-1.6500000000000004,2.41,0.4,1.0238202294873726
-1.6999999999999993,2.46,0.3500000000000001,1.0647344063956181
-2.1500000000000004,2.46,0.4,1.0341664064126335
-2.1999999999999993,2.51,0.3500000000000001,1.0729530217745982
-2.6999999999999993,2.51,0.39641941385920604,1.0152946437965906
-2.75,2.5599999999999996,0.3500000000000001,1.0583077707206126
-3.0999999999999996,2.5599999999999996,0.39641941385920604,1.0238202294873726
-3.1500000000000004,2.6100000000000003,0.3500000000000001,1.0647344063956181
-3.8000000000000007,2.6100000000000003,0.39641941385920604,1.0152946437965906
-3.8499999999999996,2.66,0.3500000000000001,1.0583077707206126
-4.449999999999999,2.66,0.39641941385920604,1.0238202294873726
-4.5,2.71,0.3500000000000001,1.0647344063956181
-5.050000000000001,2.71,0.4,1.0238202294873726
-5.1,2.76,0.3500000000000001,1.0647344063956181
-5.6,2.76,0.4,1.05
-5.65,2.8099999999999996,0.3500000000000001,1.1
-5.800000000000001,2.8099999999999996,0.3500000000000001,1.1080127840328724
-5.85,2.76,0.4,1.0647344063956181
-6.550000000000001,2.76,0.4516648189186455,1.3224980739587953
-6.6000000000000005,2.71,0.506225774829855,1.3101242188104618
-6.8500000000000005,2.71,0.55,1.4691806012954132
-6.9,2.66,0.6000000000000001,1.467766952966369
-7.050000000000001,2.66,0.6000000000000001,1.576832437912346
-7.1000000000000005,2.6100000000000003,0.65,1.5821530224718712
-7.25,2.6100000000000003,0.65524865872714,1.7000000000000002
-7.300000000000001,2.5599999999999996,0.7111874208078343,1.7112185361118766
-7.45,2.5599999999999996,0.7440306508910551,1.8360009363293828
-7.5,2.51,0.8,1.8523243250030885
-7.65,2.51,0.8,1.9825424421026654
-7.7,2.46,0.8500000000000001,2.0032585612562044
-7.75,2.46,0.8500000000000001,2.047871376374779
-7.800000000000001,2.41,0.9,2.071181140275875
-7.8500000000000005,2.41,0.9,2.1166091947189147
-7.9,2.3600000000000003,0.9165525060596439,2.142334948363963
-7.9,2.3099999999999996,0.9257650672131263,2.123324163210527
-7.95,2.26,0.8884864324004713,2.152039967047846
-7.95,1.6100000000000003,0.9,2.0086792761230394
-8.0,1.5599999999999996,0.8500000000000001,2.0547823678633232
-8.0,1.2599999999999998,0.8500000000000001,2.0547823678633232
-7.95,1.21,0.9,2.0086792761230394
-7.95,0.71,0.9,2.1041630560342615
-7.8500000000000005,0.71,0.9,2.0086792761230394
-7.800000000000001,0.6600000000000001,0.8500000000000001,1.9770595073471402
-7.75,0.6600000000000001,0.8500000000000001,1.9299103120977759
-7.7,0.6100000000000003,0.8,1.9005681084665387
-7.65,0.6100000000000003,0.8,1.8540659228538017
-7.6000000000000005,0.5599999999999996,0.75,1.827204738618265
-7.5,0.5599999999999996,0.75,1.7359273071502335
-7.45,0.5099999999999998,0.7000000000000001,1.7124611797498108
-7.3500000000000005,0.5099999999999998,0.704987562112089,1.6235384061671345
-7.25,0.41000000000000014,0.6219544457292887,1.5867962264113207
-7.15,0.41000000000000014,0.6486832980505138,1.5027756377319947
-7.1000000000000005,0.3600000000000003,0.6000000000000001,1.490251378996816
