302,59
301,60
301,61
300,62
300,67
299,68
299,72
298,73
298,77
297,78
297,80
296,81
296,83
295,84
295,93
294,94
294,101
295,102
295,106
294,107
294,123
298,123
301,126
301,143
297,147
292,147
291,148
291,153
290,154
290,162
285,167
278,167
277,166
276,166
275,165
268,165
267,164
258,164
257,163
248,163
247,162
236,162
235,161
228,161
227,160
214,160
213,159
201,159
200,158
190,158
189,157
179,157
178,156
164,156
163,155
155,155
154,154
142,154
141,153
127,153
126,152
109,152
108,153
108,171
107,172
107,211
106,212
106,226
115,226
116,227
139,227
140,228
148,228
149,229
184,229
185,230
197,230
198,231
204,231
205,232
209,232
210,233
214,233
215,234
225,234
226,235
240,235
241,236
254,236
255,237
268,237
269,238
275,238
276,239
282,239
283,240
288,240
289,241
302,241
303,242
307,242
308,243
320,243
321,244
328,244
329,245
338,245
339,246
347,246
348,247
359,247
360,246
362,246
363,245
364,245
364,244
365,243
365,242
366,241
366,240
367,239
367,236
368,235
368,220
369,219
369,201
370,200
370,197
371,196
371,195
372,194
372,186
373,185
373,182
374,181
374,170
375,169
375,153
376,152
376,147
377,146
377,142
378,141
378,123
379,122
379,103
380,102
380,77
379,76
379,72
378,71
378,70
374,66
361,66
360,65
352,65
351,64
348,64
347,63
345,63
344,62
321,62
320,61
316,61
315,60
312,60
311,59
