#x_m,y_m,w_tr_right_m,w_tr_left_m
-2.3000000000000007,0.9000000000000001,1.55,1.5117670931993439
-2.25,0.8500000000000003,1.5,1.492344832893492
-2.200000000000001,0.8500000000000003,1.5,1.4492855684535901
-2.0999999999999996,0.7500000000000002,1.4000000000000001,1.4204650534085255
-2.0500000000000007,0.7500000000000002,1.4000000000000001,1.3800297616411443
-2.0,0.7,1.35,1.3710774967068404
-1.950000000000001,0.7,1.35,1.332482771731451
-1.9000000000000004,0.6500000000000001,1.3,1.3278820596099707
-1.8000000000000007,0.6500000000000001,1.3,1.2556349186104045
-1.75,0.5999999999999999,1.25,1.2556349186104045
-1.700000000000001,0.5999999999999999,1.25,1.220690632574555
-1.6500000000000004,0.55,1.2000000000000002,1.2239750654128172
-1.5,0.55,1.2000000000000002,1.1300349646075092
-1.450000000000001,0.5000000000000002,1.1500000000000001,1.1422205101855958
-1.3499999999999996,0.5000000000000002,1.1500000000000001,1.0892443989449805
-1.3000000000000007,0.44999999999999996,1.1,1.1089002803605372
-1.0999999999999996,0.44999999999999996,1.10089257261219,1.0285330255586425
-1.0500000000000007,0.40000000000000013,1.0536986370680885,1.0601470508735444
-0.75,0.40000000000000013,1.10089257261219,1.00384048104053
-0.6999999999999993,0.3500000000000001,1.0536986370680885,1.0509256086106296
0.0,0.3500000000000001,1.114213562373095,1.0341664064126335
0.05000000000000071,0.30000000000000004,1.0729530217745982,1.0729530217745982
0.5999999999999996,0.30000000000000004,1.1317821063276354,1.05
0.6500000000000004,0.25,1.0946325680981353,1.1
1.5,0.25,1.1500000000000001,1.0729530217745982
1.5500000000000007,0.19999999999999996,1.1,1.114213562373095
2.5500000000000007,0.19999999999999996,1.1500000000000001,1.0647344063956181
2.5999999999999996,0.15000000000000013,1.1,1.1080127840328724
3.5,0.15000000000000013,1.1430869689661811,1.0583077707206126
3.5500000000000007,0.10000000000000009,1.1,1.1035668847618199
5.449999999999999,0.10000000000000009,1.1500000000000001,1.1560219778561036
5.5,0.15000000000000013,1.2000000000000002,1.1230249470757707
5.800000000000001,0.15000000000000013,1.220690632574555,1.2443445211480502
5.850000000000001,0.19999999999999996,1.2787653403846946,1.2264337522473747
5.949999999999999,0.19999999999999996,1.3007810593582123,1.2811388300841897
6.100000000000001,0.3500000000000001,1.2402921800749365,1.2572411502397438
6.100000000000001,0.40000000000000013,1.25,1.220690632574555
6.149999999999999,0.44999999999999996,1.2000000000000002,1.220690632574555
6.149999999999999,0.55,1.2033296378372909,1.1534441853748634
6.199999999999999,0.5999999999999999,1.1577379737113251,1.1603081866510234
6.199999999999999,0.7,1.171393896956216,1.10089257261219
6.25,0.7500000000000002,1.1317821063276354,1.1150971698084906
6.25,0.8,1.1430869689661811,1.0892443989449805
6.300000000000001,0.8500000000000003,1.1,1.1089002803605372
6.300000000000001,1.05,1.10089257261219,1.0285330255586425
6.350000000000001,1.1000000000000003,1.0536986370680885,1.0601470508735444
6.350000000000001,1.4000000000000001,1.1,1.00384048104053
6.399999999999999,1.45,1.05,1.0509256086106296
6.399999999999999,1.6500000000000001,1.0462912017836261,1.05
6.350000000000001,1.7,1.0829316685939332,1.0
6.350000000000001,2.6500000000000004,1.0829316685939332,1.0
6.399999999999999,2.7,1.0462912017836261,1.05
6.399999999999999,3.4000000000000004,1.0729530217745982,1.0946325680981353
6.350000000000001,3.45,1.1317821063276354,1.0601470508735444
6.350000000000001,4.15,1.2000000000000002,1.1221462653327892
6.399999999999999,4.2,1.1500000000000001,1.1637281168304447
6.399999999999999,5.000000000000001,1.1500000000000001,1.0729530217745982
6.449999999999999,5.050000000000001,1.1,1.114213562373095
6.449999999999999,6.300000000000001,1.1500000000000001,1.0729530217745982
6.5,6.3500000000000005,1.1,1.114213562373095
6.5,6.95,1.1,1.0152946437965906
6.550000000000001,7.000000000000001,1.0509256086106296,1.0583077707206126
6.550000000000001,7.150000000000001,1.0647344063956181,1.0200378782444086
6.600000000000001,7.2,1.0238202294873726,1.041640786499874
6.600000000000001,7.45,1.05,0.9500000000000001
6.649999999999999,7.500000000000001,1.0,0.9854960132182442
6.649999999999999,7.95,1.0462912017836261,0.9500000000000001
6.699999999999999,8.0,1.0,1.0
6.699999999999999,8.3,1.0,1.00862523283024
6.649999999999999,8.35,1.05,0.9658988901172164
6.649999999999999,8.65,1.05,1.0462912017836261
6.600000000000001,8.7,1.1,1.0200378782444086
6.600000000000001,8.9,1.1080127840328724,1.1150971698084906
6.550000000000001,8.95,1.1637281168304447,1.10089257261219
6.550000000000001,9.1,1.19164338901763,1.19164338901763
6.5,9.15,1.25,1.1866068747318506
6.5,9.25,1.25,1.2556349186104045
6.449999999999999,9.3,1.3,1.2572411502397438
6.449999999999999,9.35,1.3,1.2945218719101976
6.399999999999999,9.4,1.35,1.3007810593582123
6.399999999999999,9.45,1.35,1.3401219466856729
6.350000000000001,9.5,1.4000000000000001,1.3507574019219177
6.350000000000001,9.55,1.4000000000000001,1.3918924315688632
6.300000000000001,9.6,1.4500000000000002,1.4066048165876013
6.300000000000001,9.65,1.4500000000000002,1.4492855684535901
6.25,9.7,1.5,1.467766952966369
6.25,9.75,1.5,1.5117670931993439
6.149999999999999,9.85,1.6,1.5580904176062047
6.149999999999999,9.9,1.6,1.6039432764659773
6.100000000000001,9.95,1.6500000000000001,1.6313207915827967
6.100000000000001,10.0,1.6500000000000001,1.6780040444852482
6.0,10.1,1.75,1.7402205763103167
6.0,10.15,1.75,1.7880613017821103
5.75,10.4,2.004886114323222,1.9770595073471402
5.75,10.45,2.0086792761230394,2.0264780248263685
5.550000000000001,10.65,2.231797780234433,2.204495957273639
5.550000000000001,10.7,2.2401771591761075,2.2544079548889604
5.5,10.75,2.298557292037257,2.301922366251538
