#x_m,y_m,w_tr_right_m,w_tr_left_m
5.050000000000001,9.6,2.6,1.1500000000000001
5.0,9.55,2.550438562747845,1.10089257261219
4.949999999999999,9.55,2.5004463929880894,1.1035668847618199
4.9,9.5,2.451817581163403,1.0583077707206126
4.85,9.5,2.4018512172212594,1.0647344063956181
4.800000000000001,9.45,2.3542418879973996,1.0238202294873726
4.75,9.45,2.304323328621084,1.0341664064126335
4.35,9.05,1.9500000000000002,0.840175425099138
4.35,9.0,1.9500000000000002,0.801135777277262
4.25,8.9,1.85,0.7960155108391487
4.25,8.85,1.85,0.7606601717798214
4.199999999999999,8.8,1.8,0.763014581273465
4.199999999999999,8.75,1.8,0.7307764064044152
4.15,8.7,1.75,0.7404326023342407
4.15,8.65,1.75,0.7124228365658294
4.1,8.6,1.7000000000000002,0.7295630140987002
4.1,8.5,1.7000000000000002,0.6848857801796104
4.050000000000001,8.45,1.6500000000000001,0.7124228365658294
4.050000000000001,8.3,1.6500000000000001,0.67082439194738
4.0,8.25,1.6006577808748212,0.7111874208078343
4.0,7.45,1.6557607215607946,0.7440306508910551
4.050000000000001,7.400000000000001,1.709975124224178,0.7124228365658294
4.050000000000001,7.250000000000001,1.7303940504246953,0.7735455276791945
4.1,7.2,1.7886598574205423,0.7547511554864494
4.1,7.150000000000001,1.7988091861815356,0.7440306508910551
4.050000000000001,7.1000000000000005,1.75,0.7793516572461452
4.050000000000001,6.6000000000000005,1.7524375751773793,0.704987562112089
4.0,6.55,1.705617112013158,0.751189802081432
4.0,5.65,1.7988091861815356,0.75
3.9499999999999993,5.6000000000000005,1.7615528128088305,0.8
3.9499999999999993,5.3500000000000005,1.8360009363293828,0.7547511554864494
3.9000000000000004,5.300000000000001,1.807723890835799,0.801135777277262
3.9000000000000004,5.15,1.8691011963483863,0.8
3.8499999999999996,5.1000000000000005,1.8470910553583888,0.840175425099138
3.8499999999999996,4.95,1.9209232314512812,0.810180165558726
3.8000000000000007,4.9,1.9051077071199947,0.8543396380615196
3.8000000000000007,4.750000000000001,1.9901964981197573,0.8500000000000001
3.75,4.7,1.9803508501982758,0.8884864324004713
3.75,4.6000000000000005,2.043074902771996,0.8672617529928752
3.6999999999999993,4.550000000000001,2.037733945512192,0.9093386622447824
3.6999999999999993,4.4,2.1397745797511702,0.9
3.6500000000000004,4.3500000000000005,2.1397745797511702,0.9500000000000001
3.6500000000000004,4.300000000000001,2.1758836806279898,0.9500000000000001
3.5999999999999996,4.250000000000001,2.1789110512481082,0.9980754985747171
3.5999999999999996,4.15,2.2544079548889604,0.9747548783981963
3.5500000000000007,4.1000000000000005,2.2612496949731393,1.0152946437965906
3.5500000000000007,4.000000000000001,2.340075756488817,1.00384048104053
3.5,3.95,2.3504716561397143,1.0509256086106296
3.5,3.9000000000000004,2.391189328159578,1.0462912017836261
3.4000000000000004,3.8000000000000007,2.418915224864505,1.10089257261219
3.4000000000000004,3.750000000000001,2.4613402542968155,1.0729530217745982
3.25,3.6000000000000005,2.5178005607210743,1.1
3.0999999999999996,3.6000000000000005,2.451817581163403,1.1
3.0500000000000007,3.5500000000000007,2.4771388153997633,1.05
0.9499999999999993,3.5500000000000007,2.2739075352467504,0.9500000000000001
0.9000000000000004,3.6000000000000005,2.231797780234433,1.0
-0.05000000000000071,3.6000000000000005,2.2811818998280615,0.9500000000000001
-0.09999999999999964,3.6500000000000004,2.2401771591761075,1.0
-0.8000000000000007,3.6500000000000004,2.2578311124857326,1.00862523283024
-0.8499999999999996,3.6000000000000005,2.3119915773217956,0.9658988901172164
-1.200000000000001,3.6000000000000005,2.35,1.0656500283747663
-1.25,3.5500000000000007,2.4000000000000004,1.041640786499874
-1.3499999999999996,3.5500000000000007,2.4004629232781554,1.0892443989449805
-1.4000000000000004,3.500000000000001,2.451817581163403,1.0729530217745982
-1.450000000000001,3.500000000000001,2.4540878707840825,1.10089257261219
-1.6500000000000004,3.3000000000000007,2.35,1.0788582233137676
-1.6500000000000004,3.250000000000001,2.35,1.0435028842544403
-1.700000000000001,3.2,2.3000000000000003,1.045362404707371
-1.700000000000001,3.1500000000000004,2.300480724789169,1.0124404748406688
-1.75,3.1000000000000005,2.2519600310349692,1.0200378782444086
-1.75,3.0500000000000007,2.2544079548889604,0.9903487900563941
-1.8000000000000007,3.0,2.2079872407968906,1.00384048104053
-1.8000000000000007,2.9000000000000004,2.2179356624028346,0.9529964086141668
-1.8499999999999996,2.8500000000000005,2.1748737341529165,0.9747548783981963
-1.8499999999999996,2.6500000000000004,2.158149710656371,0.9020815280171308
-1.9000000000000004,2.6000000000000005,2.10468293128221,0.9369316876852981
-1.9000000000000004,1.45,2.1,0.9369316876852981
-1.6500000000000004,1.2,1.85,0.7977249200050075
-1.5999999999999996,1.2,1.85,0.7547511554864494
-1.450000000000001,1.05,1.7000000000000002,0.7259142264341597
-1.4000000000000004,1.05,1.7000000000000002,0.6899494936611665
-1.3499999999999996,1.0000000000000002,1.6500000000000001,0.6899494936611665
-1.3000000000000007,1.0000000000000002,1.6500000000000001,0.65524865872714
-1.25,0.95,1.6,0.6604686356149273
-1.200000000000001,0.95,1.6,0.6300537618869138
-1.1500000000000004,0.9000000000000001,1.55,0.6433981132056603
-1.0500000000000007,0.9000000000000001,1.5527007313648906,0.5944271909999159
-1.0,0.8500000000000003,1.5062391868188443,0.6192388155425118
-0.6999999999999993,0.8500000000000003,1.5527007313648906,0.5514693182963202
-0.6500000000000004,0.8,1.5062391868188443,0.6000000000000001
0.09999999999999964,0.8,1.5741664813991314,0.573212459828649
