261,4
260,5
260,8
259,9
259,32
258,33
258,44
254,48
254,58
253,59
253,79
252,80
252,105
251,106
251,119
250,120
250,137
249,138
249,149
246,152
231,152
230,151
212,151
211,150
193,150
192,149
179,149
178,148
156,148
155,147
139,147
138,146
126,146
126,162
125,163
125,181
124,182
124,207
123,208
123,219
124,220
124,226
123,227
123,245
124,246
124,268
123,269
123,274
122,275
122,280
121,281
121,283
122,284
143,284
144,285
185,285
186,286
192,286
193,287
204,287
205,288
214,288
215,289
222,289
223,290
229,290
230,291
232,291
233,290
251,290
252,291
271,291
272,292
309,292
310,293
318,293
320,295
321,295
322,296
345,296
346,295
347,295
351,291
352,291
353,290
353,289
354,288
354,268
355,267
355,259
356,258
356,248
357,247
357,233
356,232
356,221
357,220
357,205
358,204
358,194
359,193
359,154
360,153
360,129
361,128
361,116
362,115
362,93
363,92
363,63
364,62
364,54
365,53
365,47
366,46
366,43
367,42
367,38
368,37
368,35
367,34
367,25
368,24
368,20
369,19
369,10
368,9
368,8
367,7
367,5
366,4
320,4
317,7
301,7
298,4
