305,103
302,106
302,117
303,118
304,118
306,120
306,125
305,126
305,130
304,131
304,137
303,138
303,162
302,163
302,171
301,172
301,179
300,180
300,189
299,190
299,196
298,197
298,203
293,208
293,221
291,223
277,223
276,222
253,222
252,221
229,221
228,220
208,220
207,219
191,219
188,222
188,237
190,239
191,239
192,240
210,240
211,241
239,241
240,242
259,242
260,243
277,243
278,244
308,244
309,243
310,243
310,242
311,241
311,208
310,207
310,206
309,205
308,205
307,204
307,203
306,202
307,201
307,193
308,192
308,184
309,183
309,175
310,174
310,167
311,166
311,141
312,140
312,134
313,133
313,129
314,128
314,121
316,119
316,118
317,117
317,116
318,115
318,106
317,105
317,104
316,103
