-0.198,0.125,3.417,1.000,2.000,0.300,0.010,0.000,0.000
-0.007,0.073,3.486,1.000,2.000,0.300,0.010,0.000,0.199
0.188,0.035,3.571,1.000,2.000,0.300,0.010,0.000,0.397
0.385,0.008,3.669,1.000,2.000,0.300,0.010,0.000,0.596
0.583,-0.008,3.779,1.000,2.000,0.300,0.010,0.000,0.795
0.782,-0.017,3.904,1.000,2.000,0.300,0.010,0.000,0.993
0.981,-0.021,4.046,1.000,2.000,0.300,0.010,0.000,1.192
1.179,-0.023,4.204,1.000,2.000,0.300,0.010,0.000,1.391
1.378,-0.023,4.373,1.000,2.000,0.300,0.010,0.000,1.589
1.577,-0.024,4.528,1.000,2.000,0.300,0.010,0.000,1.788
1.775,-0.024,4.669,1.000,2.000,0.300,0.010,0.000,1.987
1.974,-0.025,4.795,1.000,2.000,0.300,0.010,0.000,2.185
2.173,-0.025,4.907,1.000,2.000,0.300,0.010,0.000,2.384
2.371,-0.025,5.007,1.000,2.000,0.300,0.010,0.000,2.582
2.570,-0.024,5.088,1.000,2.000,0.300,0.010,0.000,2.781
2.769,-0.023,5.150,1.000,2.000,0.300,0.010,0.000,2.980
2.968,-0.018,5.179,1.000,2.000,0.300,0.010,0.000,3.178
3.166,-0.010,5.178,1.000,2.000,0.300,0.010,0.000,3.377
3.365,0.003,5.149,1.000,2.000,0.300,0.010,0.000,3.576
3.562,0.023,5.097,0.900,1.200,0.400,0.010,1.000,3.774
3.759,0.052,5.023,0.900,1.200,0.400,0.010,1.000,3.973
3.954,0.088,4.941,0.900,1.200,0.400,0.010,1.000,4.172
4.147,0.134,4.853,0.900,1.200,0.400,0.010,1.000,4.370
4.338,0.191,4.766,0.900,1.200,0.400,0.010,1.000,4.569
4.525,0.257,4.684,0.900,1.200,0.400,0.010,1.000,4.768
4.708,0.334,4.605,0.900,1.200,0.400,0.010,1.000,4.966
4.887,0.422,4.534,0.900,1.200,0.400,0.010,1.000,5.165
5.059,0.519,4.471,0.900,1.200,0.400,0.010,1.000,5.364
5.227,0.627,4.414,0.900,1.200,0.400,0.010,1.000,5.562
5.387,0.745,4.366,0.900,1.200,0.400,0.010,1.000,5.761
5.539,0.872,4.325,0.900,1.200,0.400,0.010,1.000,5.960
5.684,1.007,4.289,0.900,1.200,0.400,0.010,1.000,6.158
5.820,1.153,4.257,0.900,1.200,0.400,0.010,1.000,6.357
5.947,1.305,4.229,0.900,1.200,0.400,0.010,1.000,6.556
6.065,1.464,4.216,0.900,1.200,0.400,0.010,1.000,6.754
6.175,1.629,4.238,0.900,1.200,0.400,0.010,1.000,6.953
6.279,1.798,4.302,0.900,1.200,0.400,0.010,1.000,7.151
6.378,1.970,4.381,0.900,1.200,0.400,0.010,1.000,7.350
6.471,2.144,4.420,0.900,1.200,0.400,0.010,1.000,7.549
6.557,2.323,4.435,0.900,1.200,0.400,0.010,1.000,7.747
6.635,2.507,4.437,0.900,1.200,0.400,0.010,1.000,7.946
6.704,2.692,4.432,0.900,2.000,0.300,0.010,2.000,8.145
6.765,2.882,4.427,0.900,2.000,0.300,0.010,2.000,8.343
6.817,3.075,4.425,0.900,2.000,0.300,0.010,2.000,8.542
6.860,3.267,4.427,0.900,2.000,0.300,0.010,2.000,8.741
6.895,3.463,4.438,0.900,2.000,0.300,0.010,2.000,8.939
6.923,3.660,4.457,0.900,2.000,0.300,0.010,2.000,9.138
6.943,3.858,4.486,0.900,2.000,0.300,0.010,2.000,9.337
6.957,4.057,4.527,0.900,2.000,0.300,0.010,2.000,9.535
6.967,4.254,4.579,0.900,2.000,0.300,0.010,2.000,9.734
6.972,4.453,4.647,0.900,2.000,0.300,0.010,2.000,9.933
6.974,4.652,4.727,0.900,2.000,0.300,0.010,2.000,10.131
6.975,4.851,4.819,0.900,2.000,0.300,0.010,2.000,10.330
6.975,5.049,4.917,0.900,2.000,0.300,0.010,2.000,10.529
6.975,5.248,5.006,0.900,2.000,0.300,0.010,2.000,10.727
6.974,5.447,5.089,0.900,2.000,0.300,0.010,2.000,10.926
6.972,5.646,5.164,0.900,2.000,0.300,0.010,2.000,11.125
6.970,5.844,5.236,0.900,2.000,0.300,0.010,2.000,11.323
6.968,6.043,5.307,0.900,2.000,0.300,0.010,2.000,11.522
6.966,6.242,5.368,0.900,2.000,0.300,0.010,2.000,11.720
6.965,6.441,5.418,0.900,2.000,0.300,0.010,2.000,11.919
6.965,6.639,5.457,0.900,2.000,0.300,0.010,2.000,12.118
6.965,6.839,5.484,0.900,2.000,0.300,0.010,2.000,12.316
6.968,7.037,5.434,0.900,2.000,0.300,0.010,2.000,12.515
6.972,7.236,5.030,0.900,2.000,0.300,0.010,2.000,12.714
6.977,7.435,4.633,0.800,1.000,0.300,0.010,3.000,12.912
6.979,7.632,4.307,0.800,1.000,0.300,0.010,3.000,13.111
6.974,7.833,4.046,0.800,1.000,0.300,0.010,3.000,13.310
